Country Name,Id,Indicator Name,Value,Year
Ethiopia,4406,"Debt service on external debt, total (TDS, current US$)",348056270.7,1996
Ethiopia,4445,"External debt stocks, total (DOD, current US$)",10091749360,1996
Finland,4584,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Finland,4589,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Finland,4628,"External debt stocks, total (DOD, current US$)",n/a,1996
Fiji,4645,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",28698316.5,1996
Fiji,4650,"Debt service on external debt, total (TDS, current US$)",29679316.5,1996
Fiji,4689,"External debt stocks, total (DOD, current US$)",165771501,1996
France,4706,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
France,4711,"Debt service on external debt, total (TDS, current US$)",n/a,1996
France,4750,"External debt stocks, total (DOD, current US$)",n/a,1996
Faroe Islands,4767,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Faroe Islands,4772,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Faroe Islands,4811,"External debt stocks, total (DOD, current US$)",n/a,1996
Gabon,4889,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",362912718.4,1996
Gabon,4894,"Debt service on external debt, total (TDS, current US$)",383590404.9,1996
Gabon,4933,"External debt stocks, total (DOD, current US$)",4313553815,1996
United Kingdom,4950,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
United Kingdom,4955,"Debt service on external debt, total (TDS, current US$)",n/a,1996
United Kingdom,4994,"External debt stocks, total (DOD, current US$)",n/a,1996
Georgia,5011,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",6898953.7,1996
Georgia,5016,"Debt service on external debt, total (TDS, current US$)",12915038.8,1996
Georgia,5055,"External debt stocks, total (DOD, current US$)",1361321591,1996
Ghana,5072,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",306344764.3,1996
Ghana,5077,"Debt service on external debt, total (TDS, current US$)",482544864.2,1996
Ghana,5116,"External debt stocks, total (DOD, current US$)",6442990349,1996
Gibraltar,5133,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Gibraltar,5138,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Gibraltar,5177,"External debt stocks, total (DOD, current US$)",n/a,1996
Guinea,5194,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",104359684.9,1996
Guinea,5199,"Debt service on external debt, total (TDS, current US$)",116482603.9,1996
Guinea,5238,"External debt stocks, total (DOD, current US$)",3205668193,1996
"Gambia, The",5255,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",19336981.6,1996
"Gambia, The",5260,"Debt service on external debt, total (TDS, current US$)",27975878,1996
"Gambia, The",5299,"External debt stocks, total (DOD, current US$)",451989840.9,1996
Guinea-Bissau,5316,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",9515526.1,1996
Guinea-Bissau,5321,"Debt service on external debt, total (TDS, current US$)",11113725.6,1996
Guinea-Bissau,5360,"External debt stocks, total (DOD, current US$)",938792769.8,1996
